name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace,cyclomatic
"R$anim.<init>()","android.support.v7.appcompat.R$anim.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,10,6362,N,"void R$anim.<init>()(class android.support.v7.appcompat.R$anim *this)",5,0.80,0.30,0,1,10,1
"R$attr.<init>()","android.support.v7.appcompat.R$attr.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,22,6362,N,"void R$attr.<init>()(class android.support.v7.appcompat.R$attr *this)",5,0.80,0.30,0,1,22,1
"R$bool.<init>()","android.support.v7.appcompat.R$bool.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,189,6362,N,"void R$bool.<init>()(class android.support.v7.appcompat.R$bool *this)",5,0.80,0.30,0,1,189 223,1
"R$color.<init>()","android.support.v7.appcompat.R$color.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,225,6362,N,"void R$color.<init>()(class android.support.v7.appcompat.R$color *this)",5,0.80,0.30,0,1,225 232,1
"R$dimen.<init>()","android.support.v7.appcompat.R$dimen.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,275,6362,N,"void R$dimen.<init>()(class android.support.v7.appcompat.R$dimen *this)",5,0.80,0.30,0,1,275 296,1
"R$drawable.<init>()","android.support.v7.appcompat.R$drawable.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,364,6362,N,"void R$drawable.<init>()(class android.support.v7.appcompat.R$drawable *this)",5,0.80,0.30,0,1,364,1
"R$id.<init>()","android.support.v7.appcompat.R$id.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,308,6362,N,"void R$id.<init>()(class android.support.v7.appcompat.R$id *this)",5,0.80,0.30,0,1,308 425,1
"R$integer.<init>()","android.support.v7.appcompat.R$integer.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,506,6362,N,"void R$integer.<init>()(class android.support.v7.appcompat.R$integer *this)",5,0.80,0.30,0,1,506,1
"R$layout.<init>()","android.support.v7.appcompat.R$layout.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,511,6362,N,"void R$layout.<init>()(class android.support.v7.appcompat.R$layout *this)",5,0.80,0.30,0,1,511,1
"R$string.<init>()","android.support.v7.appcompat.R$string.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,388,6362,N,"void R$string.<init>()(class android.support.v7.appcompat.R$string *this)",5,0.80,0.30,0,1,388 542,1
"R$style.<init>()","android.support.v7.appcompat.R$style.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,561,6362,N,"void R$style.<init>()(class android.support.v7.appcompat.R$style *this)",5,0.80,0.30,0,1,561,1
"void R$styleable.<clinit>()","android.support.v7.appcompat.R$styleable.<clinit>():void",0,0,TO,334,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,847,6362,N,"class java.lang.Object *void R$styleable.<clinit>()(class java.lang.String *field)",335,0.00,0.00,0,0,,1
"R$styleable.<init>()","android.support.v7.appcompat.R$styleable.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,846,6362,N,"void R$styleable.<init>()(class android.support.v7.appcompat.R$styleable *this)",5,0.80,0.30,0,1,846,1
"R.<init>()","android.support.v7.appcompat.R.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,1,6362,N,"void R.<init>()(class android.support.v7.appcompat.R *this)",5,0.80,0.30,0,1,1 9 846,1
"R$attr.<init>()","android.support.v7.cardview.R$attr.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,10,6362,N,"void R$attr.<init>()(class android.support.v7.cardview.R$attr *this)",5,0.80,0.30,0,1,10,1
"R$color.<init>()","android.support.v7.cardview.R$color.<init>()",1,0,  ,18,0,/Users/global/Documents/Kohls_Material_Demo_app/MaterialDemo/app/build/generated/source/r/debug/material/com/materialdemo/R.java,23,6362,N,"void R$color.<init>()(class android.support.v7.cardview.R$color *this)",5,0.80,0.30,0,1,23,1
